year,basis,cadre,group,course_years,sanctioned_seats_frozen,sanctioned_seats_trend,fill_rate,completion_rate,completion_basis,qualified_output_frozen,qualified_output_trend,full_coverage_year
2026,Projected,BDS,Dental,5,2200,2228,0.9076,0.9104,assumed,1818,1702,"no, partial"
2027,Projected,BDS,Dental,5,2200,2256,0.9076,0.9104,assumed,1818,1777,yes
2028,Projected,BDS,Dental,5,2200,2284,0.9076,0.9104,assumed,1818,1818,yes
2029,Projected,BDS,Dental,5,2200,2312,0.9076,0.9104,assumed,1818,1777,yes
2030,Projected,BDS,Dental,5,2200,2340,0.9076,0.9104,assumed,1818,1818,yes
2031,Projected,BDS,Dental,5,2200,2368,0.9076,0.9104,assumed,1818,1841,yes
2032,Projected,BDS,Dental,5,2200,2396,0.9076,0.9104,assumed,1818,1864,yes
2033,Projected,BDS,Dental,5,2200,2424,0.9076,0.9104,assumed,1818,1887,yes
2034,Projected,BDS,Dental,5,2200,2452,0.9076,0.9104,assumed,1818,1910,yes
2035,Projected,BDS,Dental,5,2200,2480,0.9076,0.9104,assumed,1818,1934,yes
2036,Projected,BDS,Dental,5,2200,2480,0.9076,0.9104,assumed,1818,1957,yes
2037,Projected,BDS,Dental,5,2200,2480,0.9076,0.9104,assumed,1818,1980,yes
2038,Projected,BDS,Dental,5,2200,2480,0.9076,0.9104,assumed,1818,2003,yes
2039,Projected,BDS,Dental,5,2200,2480,0.9076,0.9104,assumed,1818,2026,yes
2040,Projected,BDS,Dental,5,2200,2480,0.9076,0.9104,assumed,1818,2049,yes
2041,Projected,BDS,Dental,5,2200,2480,0.9076,0.9104,assumed,1818,2049,yes
2042,Projected,BDS,Dental,5,2200,2480,0.9076,0.9104,assumed,1818,2049,yes
2043,Projected,BDS,Dental,5,2200,2480,0.9076,0.9104,assumed,1818,2049,yes
2044,Projected,BDS,Dental,5,2200,2480,0.9076,0.9104,assumed,1818,2049,yes
2045,Projected,BDS,Dental,5,2200,2480,0.9076,0.9104,assumed,1818,2049,yes
2046,Projected,BDS,Dental,5,2200,2480,0.9076,0.9104,assumed,1818,2049,yes
2047,Projected,BDS,Dental,5,2200,2480,0.9076,0.9104,assumed,1818,2049,yes
2048,Projected,BDS,Dental,5,2200,2480,0.9076,0.9104,assumed,1818,2049,yes
2049,Projected,BDS,Dental,5,2200,2480,0.9076,0.9104,assumed,1818,2049,yes
2050,Projected,BDS,Dental,5,2200,2480,0.9076,0.9104,assumed,1818,2049,yes
2021,Observed,MDS,Dental,3,435,373,0.9192,0.9912,observed (2 cohort matches),,,"no, partial"
2022,Observed,MDS,Dental,3,435,375,0.9192,0.9912,observed (2 cohort matches),,,"no, partial"
2023,Observed,MDS,Dental,3,435,392,0.9192,0.9912,observed (2 cohort matches),,,"no, partial"
2024,Observed,MDS,Dental,3,435,429,0.9192,0.9912,observed (2 cohort matches),396,340,"no, partial"
2025,Observed,MDS,Dental,3,435,435,0.9192,0.9912,observed (2 cohort matches),396,342,"no, partial"
2026,Projected,MDS,Dental,3,435,453,0.9192,0.9912,observed (2 cohort matches),396,357,"no, partial"
2027,Projected,MDS,Dental,3,435,471,0.9192,0.9912,observed (2 cohort matches),396,391,yes
2028,Projected,MDS,Dental,3,435,488,0.9192,0.9912,observed (2 cohort matches),396,396,yes
2029,Projected,MDS,Dental,3,435,506,0.9192,0.9912,observed (2 cohort matches),396,413,yes
2030,Projected,MDS,Dental,3,435,524,0.9192,0.9912,observed (2 cohort matches),396,429,yes
2031,Projected,MDS,Dental,3,435,542,0.9192,0.9912,observed (2 cohort matches),396,445,yes
2032,Projected,MDS,Dental,3,435,560,0.9192,0.9912,observed (2 cohort matches),396,461,yes
2033,Projected,MDS,Dental,3,435,577,0.9192,0.9912,observed (2 cohort matches),396,477,yes
2034,Projected,MDS,Dental,3,435,595,0.9192,0.9912,observed (2 cohort matches),396,494,yes
2035,Projected,MDS,Dental,3,435,613,0.9192,0.9912,observed (2 cohort matches),396,510,yes
2036,Projected,MDS,Dental,3,435,613,0.9192,0.9912,observed (2 cohort matches),396,526,yes
2037,Projected,MDS,Dental,3,435,613,0.9192,0.9912,observed (2 cohort matches),396,542,yes
2038,Projected,MDS,Dental,3,435,613,0.9192,0.9912,observed (2 cohort matches),396,559,yes
2039,Projected,MDS,Dental,3,435,613,0.9192,0.9912,observed (2 cohort matches),396,559,yes
2040,Projected,MDS,Dental,3,435,613,0.9192,0.9912,observed (2 cohort matches),396,559,yes
2041,Projected,MDS,Dental,3,435,613,0.9192,0.9912,observed (2 cohort matches),396,559,yes
2042,Projected,MDS,Dental,3,435,613,0.9192,0.9912,observed (2 cohort matches),396,559,yes
2043,Projected,MDS,Dental,3,435,613,0.9192,0.9912,observed (2 cohort matches),396,559,yes
2044,Projected,MDS,Dental,3,435,613,0.9192,0.9912,observed (2 cohort matches),396,559,yes
2045,Projected,MDS,Dental,3,435,613,0.9192,0.9912,observed (2 cohort matches),396,559,yes
2046,Projected,MDS,Dental,3,435,613,0.9192,0.9912,observed (2 cohort matches),396,559,yes
2047,Projected,MDS,Dental,3,435,613,0.9192,0.9912,observed (2 cohort matches),396,559,yes
2048,Projected,MDS,Dental,3,435,613,0.9192,0.9912,observed (2 cohort matches),396,559,yes
2049,Projected,MDS,Dental,3,435,613,0.9192,0.9912,observed (2 cohort matches),396,559,yes
2050,Projected,MDS,Dental,3,435,613,0.9192,0.9912,observed (2 cohort matches),396,559,yes
2021,Observed,B.Pharm,Pharmacy,4,10130,7230,0.9348,0.8220,observed (1 cohort match),,,"no, partial"
2022,Observed,B.Pharm,Pharmacy,4,10130,7270,0.9348,0.8220,observed (1 cohort match),,,"no, partial"
2023,Observed,B.Pharm,Pharmacy,4,10130,8350,0.9348,0.8220,observed (1 cohort match),,,"no, partial"
2024,Observed,B.Pharm,Pharmacy,4,10130,9270,0.9348,0.8220,observed (1 cohort match),,,"no, partial"
2025,Observed,B.Pharm,Pharmacy,4,10130,10130,0.9348,0.8220,observed (1 cohort match),7784,5555,"no, partial"
2026,Projected,B.Pharm,Pharmacy,4,10130,10910,0.9348,0.8220,observed (1 cohort match),7784,5586,"no, partial"
2027,Projected,B.Pharm,Pharmacy,4,10130,11690,0.9348,0.8220,observed (1 cohort match),7784,6416,yes
2028,Projected,B.Pharm,Pharmacy,4,10130,12470,0.9348,0.8220,observed (1 cohort match),7784,7123,yes
2029,Projected,B.Pharm,Pharmacy,4,10130,13250,0.9348,0.8220,observed (1 cohort match),7784,7784,yes
2030,Projected,B.Pharm,Pharmacy,4,10130,14030,0.9348,0.8220,observed (1 cohort match),7784,8383,yes
2031,Projected,B.Pharm,Pharmacy,4,10130,14810,0.9348,0.8220,observed (1 cohort match),7784,8983,yes
2032,Projected,B.Pharm,Pharmacy,4,10130,15590,0.9348,0.8220,observed (1 cohort match),7784,9582,yes
2033,Projected,B.Pharm,Pharmacy,4,10130,16370,0.9348,0.8220,observed (1 cohort match),7784,10181,yes
2034,Projected,B.Pharm,Pharmacy,4,10130,17150,0.9348,0.8220,observed (1 cohort match),7784,10781,yes
2035,Projected,B.Pharm,Pharmacy,4,10130,17930,0.9348,0.8220,observed (1 cohort match),7784,11380,yes
2036,Projected,B.Pharm,Pharmacy,4,10130,17930,0.9348,0.8220,observed (1 cohort match),7784,11979,yes
2037,Projected,B.Pharm,Pharmacy,4,10130,17930,0.9348,0.8220,observed (1 cohort match),7784,12579,yes
2038,Projected,B.Pharm,Pharmacy,4,10130,17930,0.9348,0.8220,observed (1 cohort match),7784,13178,yes
2039,Projected,B.Pharm,Pharmacy,4,10130,17930,0.9348,0.8220,observed (1 cohort match),7784,13777,yes
2040,Projected,B.Pharm,Pharmacy,4,10130,17930,0.9348,0.8220,observed (1 cohort match),7784,13777,yes
2041,Projected,B.Pharm,Pharmacy,4,10130,17930,0.9348,0.8220,observed (1 cohort match),7784,13777,yes
2042,Projected,B.Pharm,Pharmacy,4,10130,17930,0.9348,0.8220,observed (1 cohort match),7784,13777,yes
2043,Projected,B.Pharm,Pharmacy,4,10130,17930,0.9348,0.8220,observed (1 cohort match),7784,13777,yes
2044,Projected,B.Pharm,Pharmacy,4,10130,17930,0.9348,0.8220,observed (1 cohort match),7784,13777,yes
2045,Projected,B.Pharm,Pharmacy,4,10130,17930,0.9348,0.8220,observed (1 cohort match),7784,13777,yes
2046,Projected,B.Pharm,Pharmacy,4,10130,17930,0.9348,0.8220,observed (1 cohort match),7784,13777,yes
2047,Projected,B.Pharm,Pharmacy,4,10130,17930,0.9348,0.8220,observed (1 cohort match),7784,13777,yes
2048,Projected,B.Pharm,Pharmacy,4,10130,17930,0.9348,0.8220,observed (1 cohort match),7784,13777,yes
2049,Projected,B.Pharm,Pharmacy,4,10130,17930,0.9348,0.8220,observed (1 cohort match),7784,13777,yes
2050,Projected,B.Pharm,Pharmacy,4,10130,17930,0.9348,0.8220,observed (1 cohort match),7784,13777,yes
2021,Observed,M.Pharm,Pharmacy,2,2309,1270,0.6743,0.9314,observed (3 cohort matches),,,"no, partial"
2022,Observed,M.Pharm,Pharmacy,2,2309,1058,0.6743,0.9314,observed (3 cohort matches),,,"no, partial"
2023,Observed,M.Pharm,Pharmacy,2,2309,1558,0.6743,0.9314,observed (3 cohort matches),1450,798,"no, partial"
2024,Observed,M.Pharm,Pharmacy,2,2309,1927,0.6743,0.9314,observed (3 cohort matches),1450,665,"no, partial"
2025,Observed,M.Pharm,Pharmacy,2,2309,2309,0.6743,0.9314,observed (3 cohort matches),1450,979,"no, partial"
2026,Projected,M.Pharm,Pharmacy,2,2309,2604,0.6743,0.9314,observed (3 cohort matches),1450,1210,"no, partial"
2027,Projected,M.Pharm,Pharmacy,2,2309,2898,0.6743,0.9314,observed (3 cohort matches),1450,1450,yes
2028,Projected,M.Pharm,Pharmacy,2,2309,3193,0.6743,0.9314,observed (3 cohort matches),1450,1635,yes
2029,Projected,M.Pharm,Pharmacy,2,2309,3488,0.6743,0.9314,observed (3 cohort matches),1450,1820,yes
2030,Projected,M.Pharm,Pharmacy,2,2309,3782,0.6743,0.9314,observed (3 cohort matches),1450,2006,yes
2031,Projected,M.Pharm,Pharmacy,2,2309,4077,0.6743,0.9314,observed (3 cohort matches),1450,2191,yes
2032,Projected,M.Pharm,Pharmacy,2,2309,4372,0.6743,0.9314,observed (3 cohort matches),1450,2376,yes
2033,Projected,M.Pharm,Pharmacy,2,2309,4667,0.6743,0.9314,observed (3 cohort matches),1450,2561,yes
2034,Projected,M.Pharm,Pharmacy,2,2309,4961,0.6743,0.9314,observed (3 cohort matches),1450,2746,yes
2035,Projected,M.Pharm,Pharmacy,2,2309,5256,0.6743,0.9314,observed (3 cohort matches),1450,2931,yes
2036,Projected,M.Pharm,Pharmacy,2,2309,5256,0.6743,0.9314,observed (3 cohort matches),1450,3116,yes
2037,Projected,M.Pharm,Pharmacy,2,2309,5256,0.6743,0.9314,observed (3 cohort matches),1450,3301,yes
2038,Projected,M.Pharm,Pharmacy,2,2309,5256,0.6743,0.9314,observed (3 cohort matches),1450,3301,yes
2039,Projected,M.Pharm,Pharmacy,2,2309,5256,0.6743,0.9314,observed (3 cohort matches),1450,3301,yes
2040,Projected,M.Pharm,Pharmacy,2,2309,5256,0.6743,0.9314,observed (3 cohort matches),1450,3301,yes
2041,Projected,M.Pharm,Pharmacy,2,2309,5256,0.6743,0.9314,observed (3 cohort matches),1450,3301,yes
2042,Projected,M.Pharm,Pharmacy,2,2309,5256,0.6743,0.9314,observed (3 cohort matches),1450,3301,yes
2043,Projected,M.Pharm,Pharmacy,2,2309,5256,0.6743,0.9314,observed (3 cohort matches),1450,3301,yes
2044,Projected,M.Pharm,Pharmacy,2,2309,5256,0.6743,0.9314,observed (3 cohort matches),1450,3301,yes
2045,Projected,M.Pharm,Pharmacy,2,2309,5256,0.6743,0.9314,observed (3 cohort matches),1450,3301,yes
2046,Projected,M.Pharm,Pharmacy,2,2309,5256,0.6743,0.9314,observed (3 cohort matches),1450,3301,yes
2047,Projected,M.Pharm,Pharmacy,2,2309,5256,0.6743,0.9314,observed (3 cohort matches),1450,3301,yes
2048,Projected,M.Pharm,Pharmacy,2,2309,5256,0.6743,0.9314,observed (3 cohort matches),1450,3301,yes
2049,Projected,M.Pharm,Pharmacy,2,2309,5256,0.6743,0.9314,observed (3 cohort matches),1450,3301,yes
2050,Projected,M.Pharm,Pharmacy,2,2309,5256,0.6743,0.9314,observed (3 cohort matches),1450,3301,yes
2021,Observed,Pharm.D,Pharmacy,6,1560,720,0.9185,0.9104,assumed,,,"no, partial"
2022,Observed,Pharm.D,Pharmacy,6,1560,870,0.9185,0.9104,assumed,,,"no, partial"
2023,Observed,Pharm.D,Pharmacy,6,1560,1050,0.9185,0.9104,assumed,,,"no, partial"
2024,Observed,Pharm.D,Pharmacy,6,1560,1260,0.9185,0.9104,assumed,,,"no, partial"
2025,Observed,Pharm.D,Pharmacy,6,1560,1560,0.9185,0.9104,assumed,,,"no, partial"
2026,Projected,Pharm.D,Pharmacy,6,1560,1767,0.9185,0.9104,assumed,,,"no, partial"
2027,Projected,Pharm.D,Pharmacy,6,1560,1974,0.9185,0.9104,assumed,1304,602,yes
2028,Projected,Pharm.D,Pharmacy,6,1560,2181,0.9185,0.9104,assumed,1304,727,yes
2029,Projected,Pharm.D,Pharmacy,6,1560,2388,0.9185,0.9104,assumed,1304,878,yes
2030,Projected,Pharm.D,Pharmacy,6,1560,2595,0.9185,0.9104,assumed,1304,1054,yes
2031,Projected,Pharm.D,Pharmacy,6,1560,2802,0.9185,0.9104,assumed,1304,1304,yes
2032,Projected,Pharm.D,Pharmacy,6,1560,3009,0.9185,0.9104,assumed,1304,1478,yes
2033,Projected,Pharm.D,Pharmacy,6,1560,3216,0.9185,0.9104,assumed,1304,1651,yes
2034,Projected,Pharm.D,Pharmacy,6,1560,3423,0.9185,0.9104,assumed,1304,1824,yes
2035,Projected,Pharm.D,Pharmacy,6,1560,3630,0.9185,0.9104,assumed,1304,1997,yes
2036,Projected,Pharm.D,Pharmacy,6,1560,3630,0.9185,0.9104,assumed,1304,2170,yes
2037,Projected,Pharm.D,Pharmacy,6,1560,3630,0.9185,0.9104,assumed,1304,2343,yes
2038,Projected,Pharm.D,Pharmacy,6,1560,3630,0.9185,0.9104,assumed,1304,2516,yes
2039,Projected,Pharm.D,Pharmacy,6,1560,3630,0.9185,0.9104,assumed,1304,2689,yes
2040,Projected,Pharm.D,Pharmacy,6,1560,3630,0.9185,0.9104,assumed,1304,2862,yes
2041,Projected,Pharm.D,Pharmacy,6,1560,3630,0.9185,0.9104,assumed,1304,3035,yes
2042,Projected,Pharm.D,Pharmacy,6,1560,3630,0.9185,0.9104,assumed,1304,3035,yes
2043,Projected,Pharm.D,Pharmacy,6,1560,3630,0.9185,0.9104,assumed,1304,3035,yes
2044,Projected,Pharm.D,Pharmacy,6,1560,3630,0.9185,0.9104,assumed,1304,3035,yes
2045,Projected,Pharm.D,Pharmacy,6,1560,3630,0.9185,0.9104,assumed,1304,3035,yes
2046,Projected,Pharm.D,Pharmacy,6,1560,3630,0.9185,0.9104,assumed,1304,3035,yes
2047,Projected,Pharm.D,Pharmacy,6,1560,3630,0.9185,0.9104,assumed,1304,3035,yes
2048,Projected,Pharm.D,Pharmacy,6,1560,3630,0.9185,0.9104,assumed,1304,3035,yes
2049,Projected,Pharm.D,Pharmacy,6,1560,3630,0.9185,0.9104,assumed,1304,3035,yes
2050,Projected,Pharm.D,Pharmacy,6,1560,3630,0.9185,0.9104,assumed,1304,3035,yes
2021,Observed,BPT,Rehabilitation,5,3348,2898,0.8909,0.9104,assumed,,,"no, partial"
2022,Observed,BPT,Rehabilitation,5,3348,3048,0.8909,0.9104,assumed,,,"no, partial"
2023,Observed,BPT,Rehabilitation,5,3348,3148,0.8909,0.9104,assumed,,,"no, partial"
2024,Observed,BPT,Rehabilitation,5,3348,3348,0.8909,0.9104,assumed,,,"no, partial"
2025,Observed,BPT,Rehabilitation,5,3348,3493,0.8909,0.9104,assumed,,,"no, partial"
2026,Projected,BPT,Rehabilitation,5,3348,3638,0.8909,0.9104,assumed,2715,2350,"no, partial"
2027,Projected,BPT,Rehabilitation,5,3348,3783,0.8909,0.9104,assumed,2715,2472,yes
2028,Projected,BPT,Rehabilitation,5,3348,3928,0.8909,0.9104,assumed,2715,2553,yes
2029,Projected,BPT,Rehabilitation,5,3348,4073,0.8909,0.9104,assumed,2715,2715,yes
2030,Projected,BPT,Rehabilitation,5,3348,4218,0.8909,0.9104,assumed,2715,2833,yes
2031,Projected,BPT,Rehabilitation,5,3348,4363,0.8909,0.9104,assumed,2715,2951,yes
